Protocol,Port,Packets,Bytes
UDP,4501,58113752,2910343414
UDP,8801,44934188,1261590226
UDP,19305,54720304,1090345975
ICMP,0,16856812,728585480
UDP,7351,1938068,308613563
ESP,0,21491225,271124596
UDP,7978,2912256,92747677
UDP,9350,2079684,38294859
GRE,0,642368,24456114
TCP,54443,50776,15236709
TCP,6810,45876,14963754
UDP,34424,108840,13645372
TCP,8531,1302632,13264744
TCP,19305,1645800,12957503
TCP,9530,287828,11678160
TCP,4287,904120,9942358
UDP,10400,225280,9408555
TCP,50050,589824,9372237
TCP,37215,209796,8457776
UDP,50004,133572,8195611
TCP,38880,182680,8145744
TCP,5621,25484,7857146
UDP,5588,161044,7760594
TCP,5938,121312,7732652
TCP,81,208204,7725968
TCP,20017,300212,7346100
TCP,4502,459452,6684821
TCP,8447,23688,6152205
TCP,8545,147660,5922784
TCP,14022,135168,5824532
TCP,23222,143360,5734400
TCP,36515,139264,5668864
UDP,9456,130888,5644141
UDP,10600,610304,5636400
TCP,8094,140284,5611360
TCP,8530,804780,5421910
TCP,50145,133972,5358880
UDP,48281,124888,5351108
TCP,34694,278528,5325060
TCP,33002,282624,5325031
UDP,54407,46072,5280981
UDP,17210,26084,5216800
UDP,18770,67348,5195535
UDP,19636,40876,5143322
TCP,59000,125732,5029280
UDP,6638,66052,4978947
UDP,22240,31484,4891321
TCP,50059,121984,4879360
UDP,17073,154576,4795325
TCP,30026,279428,4740825
UDP,16398,22192,4660320
UDP,5534,35780,4639121
UDP,10076,12596,4606836
UDP,37548,14392,4514077
UDP,4697,146396,4488452
UDP,7419,72144,4466236
UDP,6724,106496,4415527
UDP,16393,657692,4363809
TCP,17644,1024000,4277578
ICMP6,0,43888,4255074
UDP,9186,77640,4232833
UDP,20074,28672,4177921
UDP,50794,13096,4097606
UDP,15440,40960,4096003
TCP,47074,282624,4047120
TCP,39050,258048,4047114
UDP,40338,12596,4039624
UDP,15031,102216,4002171
TCP,50002,82620,3829088
UDP,6646,60448,3826745
UDP,17338,18988,3797600
UDP,13270,84632,3793578
UDP,50006,65536,3788817
UDP,8179,105312,3774461
UDP,26518,48488,3709308
TCP,4202,11992,3709281
UDP,50100,3600,3679200
UDP,7390,24576,3678208
UDP,55015,10296,3556804
UDP,4437,18788,3478014
UDP,50016,24576,3452929
UDP,5876,18896,3441260
UDP,49160,61440,3424263
TCP,50040,258048,3408109
TCP,35382,176128,3408005
UDP,27040,16196,3383401
UDP,9247,92144,3319967
UDP,15388,24576,3276801
UDP,15404,24576,3276801
UDP,20894,16384,3276800
UDP,15412,16384,3276800
UDP,15420,16384,3276800
UDP,24292,56376,3213432
TCP,37766,241664,3195112
UDP,10700,155648,3178582
TCP,65035,61952,3172750
TCP,8305,356352,3146143
UDP,18869,38668,3138011
UDP,55154,6700,3113604
UDP,13282,49152,3108868
UDP,7540,73240,3044330
UDP,61520,16984,2988472
TCP,41720,479232,2982416
UDP,63485,12800,2923800
UDP,51275,16384,2916352
UDP,60981,10692,2912001
UDP,8525,61440,2883600
UDP,18651,55056,2864710
UDP,17144,14392,2862500
UDP,26524,61440,2850833
TCP,5038,71236,2849440
UDP,16144,139264,2818110
UDP,18991,35376,2815377
TCP,9354,35868,2806847
TCP,6812,12400,2788808
TCP,46512,208896,2769054
UDP,8328,41464,2762727
TCP,42042,17684,2754577
UDP,11347,10796,2740437
UDP,5348,32768,2723842
UDP,10900,65536,2719751
UDP,12141,40968,2716696
UDP,15424,25676,2701709
UDP,14288,98304,2682909
TCP,50044,786432,2655192
TCP,19579,147456,2654323
UDP,7604,50656,2653437
TCP,14430,14388,2587182
UDP,21584,12288,2580480
UDP,37015,67848,2576135
UDP,54908,13196,2574507
UDP,10801,126976,2551866
UDP,13070,53480,2534180
UDP,4495,63484,2530975
UDP,50002,25984,2519189
UDP,17906,98652,2519083
TCP,17472,62148,2509827
UDP,17786,48364,2495117
UDP,47224,36864,2494464
TCP,7939,45056,2490368
UDP,48927,39872,2466752
UDP,15452,20480,2457601
UDP,15428,20480,2457601
UDP,10140,12288,2457600
UDP,37350,12288,2457600
UDP,27856,12288,2457600
UDP,18348,128412,2456764
UDP,10536,32192,2408465
UDP,19267,61440,2404374
TCP,8933,59772,2390880
UDP,53705,8400,2371600
UDP,5826,114688,2359357
TCP,45992,258048,2343228
TCP,38881,28300,2342700
UDP,24778,19188,2311581
UDP,15807,48976,2304864
TCP,5019,48472,2302144
UDP,17154,38572,2292281
TCP,9933,57264,2290560
IPIP,0,36864,2285568
UDP,40001,81920,2261027
UDP,35287,45056,2248716
TCP,10044,2800,2246400
UDP,6274,82336,2241648
UDP,11818,98304,2232358
UDP,14845,90620,2228973
UDP,47425,12288,2220032
UDP,32345,37572,2211958
