Protocol,Port,Packets,Bytes
OtherIP,0,36432933,1516549972
TCP,59335,1292984,95680796
TCP,20080,792685,45318902
TCP,11100,396991,22110022
TCP,37019,256927,22095014
TCP,36759,199614,17165976
TCP,33513,192989,16596910
TCP,36431,180026,15482048
TCP,46801,167900,14435724
TCP,57914,211460,11418924
UDP,36920,183453,11374086
TCP,37923,166613,10998202
TCP,8545,172461,9337950
TCP,33977,119918,7921420
Unknown,0,102601,7656774
UDP,6881,102254,5628688
TCP,33565,100091,5405066
TCP,81,92123,5109478
TCP,44397,79967,4318430
TCP,39595,61739,4074230
TCP,39013,75429,4073582
TCP,44465,47332,4069492
TCP,17121,65553,3539914
TCP,45321,62521,3376402
TCP,39031,48145,3182230
TCP,44089,56083,3028606
TCP,40467,34280,2947372
TCP,39865,43087,2855790
TCP,13518,38039,2523554
TCP,5038,45708,2486436
TCP,34109,37440,2480004
TCP,50002,38084,2171052
UDP,40035,50053,2102226
TCP,58316,37675,2035166
TCP,52869,37378,2026236
TCP,26604,30284,2013500
TCP,44303,22330,1920120
TCP,36029,28892,1909332
TCP,26537,28437,1876634
TCP,46255,21588,1855812
TCP,39819,32344,1747232
TCP,45543,31049,1685562
TCP,42143,29884,1624836
UDP,40033,37372,1569644
TCP,7033,23268,1537588
TCP,7490,22886,1510932
TCP,43669,21983,1450826
TCP,39281,20633,1361726
TCP,45712,25062,1353440
TCP,40180,23784,1285072
TCP,39699,19113,1263374
TCP,49495,22390,1242972
TCP,7145,18180,1200356
TCP,46229,18023,1188674
UDP,51413,27796,1185704
TCP,57879,21762,1177792
TCP,13885,17732,1170268
TCP,38611,17637,1164942
TCP,40913,17629,1164870
TCP,43705,16895,1118062
TCP,43039,16743,1109538
TCP,32766,20504,1107236
TCP,45489,12452,1070260
UDP,6882,18347,1041870
TCP,50356,15730,992144
TCP,7585,14143,951306
TCP,46805,14342,948532
TCP,45205,14151,948334
TCP,7593,13998,942000
TCP,42695,16498,893656
TCP,38511,12761,842974
TCP,41119,11067,818858
TCP,50348,11833,802442
TCP,37339,12147,798446
TCP,33791,11813,779958
TCP,35515,11498,767012
TCP,38841,13501,742070
TCP,8010,13260,724092
TCP,37025,10794,713968
TCP,34475,12672,704040
TCP,26544,10223,695530
TCP,54756,10157,693990
TCP,43635,9658,645792
TCP,45935,11323,634154
TCP,6904,11161,602798
TCP,41825,9067,600682
TCP,41860,10601,573322
TCP,54748,8377,572266
TCP,44337,10543,570730
TCP,22445,8627,568046
TCP,54139,10481,566198
TCP,9771,10273,554946
TCP,46605,9799,531542
TCP,23390,9792,528788
TCP,10801,9648,521184
TCP,26632,7540,515928
TCP,5938,8719,512230
TCP,37215,8869,505758
TCP,17325,9013,499958
UDP,7351,11652,491288
TCP,20555,8759,484894
TCP,6380,6529,475014
TCP,34849,7112,469176
TCP,46803,8574,463744
TCP,7444,6959,462258
TCP,8085,7193,458474
TCP,9770,8367,451954
TCP,17821,8042,446108
TCP,14187,8218,445060
TCP,45700,6535,427034
UDP,55314,10117,424914
TCP,14198,7857,424658
UDP,60217,9871,416766
TCP,45654,7697,415938
TCP,44623,7158,407460
TCP,9772,7356,397604
TCP,14189,7261,395270
TCP,36860,5243,394158
TCP,11953,7067,392166
TCP,14194,7149,386102
TCP,8089,7023,383990
TCP,32889,6971,377314
TCP,14980,6729,373362
TCP,20553,6699,367414
TCP,38466,5523,364398
TCP,14196,6673,360530
TCP,14186,6623,357862
TCP,6540,6622,357860
UDP,45673,8449,354858
TCP,7938,5366,354540
TCP,14192,6513,352654
TCP,14197,6360,343588
TCP,33900,6288,339804
TCP,39121,5085,338074
TCP,9774,6252,337944
TCP,14195,6244,337396
TCP,44539,6234,337096
TCP,14193,6206,335360
TCP,8203,6203,335190
TCP,13080,6075,328262
TCP,5208,5982,323192
TCP,14191,5940,321048
TCP,9773,5933,320654
TCP,14188,5859,316742
UDP,34965,7540,316680
TCP,5263,5682,307384
TCP,46804,5679,306822
TCP,10099,5500,303324
TCP,11907,4584,302608
TCP,19468,5376,298352
TCP,46205,5302,289876
TCP,10082,5217,289478
TCP,9768,5238,283432
TCP,10213,5091,282374
TCP,5878,5070,281444
TCP,17857,5049,280114
TCP,13193,5038,279452
TCP,14190,5083,274598
TCP,10089,5067,273734
TCP,18477,4853,269378
TCP,33555,4976,268756
TCP,5207,4967,268378
TCP,14200,4943,267182
TCP,6762,4779,265058
TCP,54969,4884,264680
TCP,10041,4886,264112
TCP,13854,4720,261880
TCP,11666,4693,260366
TCP,18082,4800,259468
TCP,15835,4678,259424
TCP,10034,4782,258480
TCP,20582,4010,257856
TCP,13629,4743,256278
TCP,8839,4738,256268
TCP,24683,4609,254454
TCP,33389,4703,254106
TCP,6542,4692,253592
TCP,43974,4670,252288
TCP,13879,4542,252164
TCP,9769,4659,251814
TCP,14199,4615,249214
TCP,35618,4606,248724
TCP,6911,4601,248638
TCP,21663,4375,242814
TCP,17868,4366,242044
TCP,29350,4338,240892
TCP,45215,3449,238050
TCP,10035,4355,235278
TCP,17253,4201,233254
TCP,17598,4132,229212
TCP,11215,4107,227942
UDP,40049,5382,226044
TCP,22390,4057,225134
TCP,7601,3385,224718
TCP,18337,4056,224652
TCP,41200,4133,223282
TCP,6537,4126,223244
TCP,30030,4126,222936
TCP,33912,4104,222472
TCP,29842,3995,221066
TCP,6541,4085,220738
TCP,48551,4046,218608
TCP,24684,3940,218460
TCP,19646,3923,217694
TCP,18174,3894,216124
TCP,24116,3885,215630
UDP,40031,5104,214368
TCP,10047,3931,212734
TCP,21560,3809,211338
TCP,27867,3808,211208
TCP,19754,3809,211194
TCP,19481,3800,210888
TCP,20344,3800,210688
TCP,6910,3890,210140
TCP,10038,3806,207204
UDP,36860,3347,207098
TCP,24227,3718,206564
TCP,6915,3794,205008
TCP,17334,3685,204386
TCP,10049,3772,203844
TCP,30023,3768,203480
TCP,9779,3731,201642
TCP,5206,3730,201508
TCP,42201,3531,200478
TCP,20698,3596,199612
TCP,33965,3684,199004
TCP,14435,3552,197188
TCP,39711,3570,196704
TCP,24125,3519,195302
TCP,33915,3609,195210
TCP,30026,3609,195010
TCP,24508,3506,194424
UDP,50321,4596,194236
TCP,21068,3493,193966
TCP,5379,3585,193846
TCP,6530,3576,193568
TCP,10037,3577,193310
TCP,30022,3578,193232
TCP,6584,3571,193030
TCP,26055,3454,191700
TCP,10581,3519,190274
TCP,42299,3426,190176
TCP,20858,3498,189120
TCP,9760,3497,188994
TCP,4758,3467,188602
TCP,33911,3479,188154
TCP,25237,3386,188060
TCP,5210,3463,187254
TCP,33974,3441,186546
TCP,6918,3437,185802
TCP,40079,3316,184528
TCP,8603,3390,183152
TCP,25239,3292,182668
TCP,32353,3280,181872
TCP,24169,3277,181850
TCP,25766,3224,179020
TCP,24168,3216,178436
TCP,5214,3273,176830
TCP,24022,3185,176394
TCP,25783,3162,175340
TCP,33897,3144,173344
TCP,30036,3192,172484
TCP,44431,2605,171930
TCP,33889,3140,171412
TCP,14202,3172,171388
UDP,6889,4001,171170
TCP,33899,3092,168912
TCP,6902,3113,168358
TCP,27156,3028,167868
TCP,5213,3099,167630
TCP,6545,3101,167566
TCP,10040,3098,167464
TCP,6308,2447,167338
TCP,40822,3088,166808
TCP,40602,3088,166796
TCP,6917,3067,166022
TCP,48346,3058,165608
TCP,29312,2973,164874
TCP,30049,3036,164036
TCP,29486,2925,162286
TCP,27951,2902,161300
TCP,32001,2906,161200
TCP,33961,2908,160404
TCP,33923,2920,159536
TCP,25496,2865,159058
TCP,45594,2922,158092
TCP,33924,2906,157320
TCP,30027,2902,156904
TCP,10032,2897,156762
TCP,39502,2814,155556
TCP,33399,2869,154978
TCP,6539,2820,152416
TCP,9778,2815,152242
TCP,30040,2810,151764
TCP,43389,2808,151708
TCP,13752,2785,150666
TCP,37420,2679,148506
TCP,33957,2722,147144
TCP,12389,2713,146722
TCP,33695,2079,146262
TCP,10030,2702,146160
TCP,10039,2701,146054
TCP,35567,2615,145010
TCP,33901,2663,143862
TCP,46677,2162,143848
TCP,6919,2640,142804
TCP,33975,2572,142264
UDP,33970,2293,142086
TCP,6912,2626,142068
TCP,808,2608,141556
UDP,50356,2741,141162
TCP,33960,2606,141120
TCP,10042,2600,140556
TCP,11359,2023,140090
TCP,33936,2587,139950
TCP,40887,2495,138774
TCP,33970,2565,138762
TCP,9763,2568,138756
TCP,44555,2563,138486
TCP,34433,2557,138090
TCP,6908,2543,137494
TCP,6914,2543,137430
TCP,29978,2462,136680
TCP,13802,2517,136234
TCP,33916,2490,136224
TCP,10036,2513,135998
TCP,10031,2510,135800
TCP,37077,1826,135260
TCP,33932,2500,135176
TCP,4906,2501,135146
TCP,9775,2487,134382
TCP,40302,2484,134276
TCP,13502,2482,134080
TCP,33958,2460,133832
TCP,33894,2472,133752
TCP,5589,2466,133412
TCP,44238,2450,132380
TCP,6913,2433,131738
TCP,37255,2356,130728
TCP,21900,2351,130538
TCP,33962,2379,130306
TCP,10044,2407,130142
TCP,30031,2400,129644
TCP,33971,2368,129572
TCP,20554,2393,129470
TCP,49399,2391,129182
TCP,46863,2383,128714
TCP,37295,2315,128466
TCP,40402,2378,128432
TCP,45502,2360,127580
TCP,33419,2077,126554
TCP,41379,2330,125956
TCP,26002,1893,124986
TCP,54710,2308,124908
TCP,46702,2309,124734
TCP,33927,2299,124390
TCP,53773,2276,123508
TCP,10043,2287,123502
TCP,5204,2283,123446
TCP,33917,2277,123270
TCP,37383,2217,122922
TCP,46002,2265,122386
TCP,30988,2261,122302
TCP,33926,2254,121772
TCP,6198,2248,121468
TCP,11302,2236,121164
TCP,33969,2238,121032
UDP,37810,2793,120918
TCP,18090,2235,120718
TCP,14011,2172,120572
TCP,30021,2232,120548
TCP,24643,2221,120050
UDP,22223,1942,119468
TCP,33966,2189,118602
TCP,34607,2191,118386
TCP,33937,2184,118076
TCP,33922,2184,117972
TCP,33920,2180,117808
TCP,33910,2175,117634
TCP,33907,2156,116756
TCP,13702,2156,116548
TCP,27516,2142,115932
TCP,6538,2143,115878
TCP,39263,2142,115764
TCP,10048,2129,115278
TCP,38069,2068,114788
TCP,13602,2120,114724
TCP,6916,2123,114654
TCP,33999,2110,114020
TCP,33973,2107,113818
TCP,19382,2100,113432
TCP,30301,1555,113022
TCP,41002,2053,110962
TCP,11358,1501,110626
TCP,33929,2046,110516
TCP,11502,2035,110126
TCP,33939,2015,109446
TCP,6909,2011,109026
TCP,33968,2013,108822
TCP,23707,2009,108666
TCP,6546,2012,108652
UDP,30303,2510,108136
TCP,46202,1992,107688
TCP,8834,1770,107560
TCP,6802,1985,107306
TCP,41366,1931,107090
TCP,33891,1978,106908
TCP,40788,1920,106480
TCP,10776,1966,106468
TCP,30202,1967,106378
TCP,10046,1965,106194
TCP,9922,1963,106166
TCP,789,1681,105530
TCP,33978,1947,105402
TCP,25386,1946,105284
TCP,10045,1943,105146
TCP,37401,1885,104706
TCP,6906,1923,104002
TCP,29011,1789,103878
TCP,14602,1917,103802
TCP,26513,1922,103788
TCP,8099,1663,103522
TCP,33956,1903,103350
TCP,33895,1897,103046
TCP,33925,1898,102732
TCP,33918,1892,102188
TCP,33959,1887,102182
TCP,33921,1891,102114
TCP,33892,1889,102026
TCP,33390,1875,101430
TCP,22211,1865,101158
TCP,9765,1836,101136
TCP,33982,1869,101014
TCP,33928,1863,100818
TCP,30047,1866,100772
TCP,9767,1853,100410
TCP,45408,1856,100244
TCP,47041,1816,100148
TCP,7703,1836,99288
TCP,33914,1825,98710
TCP,33967,1821,98518
TCP,22226,1821,98478
TCP,29649,1770,98472
TCP,25250,1821,98458
TCP,33205,1819,98454
TCP,33964,1809,98194
TCP,33953,1794,98172
TCP,40502,1817,98142
TCP,46302,1802,97384
TCP,9777,1794,97004
TCP,30039,1789,96638
TCP,33919,1785,96470
TCP,33941,1778,96128
TCP,33898,1777,96110
UDP,30302,2280,96096
TCP,33903,1772,95688
TCP,4489,1761,95602
TCP,25702,1763,95314
TCP,33998,1756,95096
TCP,43902,1756,94944
TCP,32379,1731,93522
TCP,27299,1731,93494
TCP,40802,1718,92912
